Id	Cultivar	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26
1	Fr	-0.107060262356925	0.302365242811261	-0.0437647768180844	-0.303194474320224	0.150787516106877	0.297623187233307	-0.183509057388088	0.212266963759435	-0.229052577906436	0.105057750704959	-0.236004481401575	-0.0170769438196981	-0.19661734508429	-0.135109905722179	-0.130609729667332	-0.232117769652259	0.0811806245046797	-0.276038260756638	0.171228158368467	-0.18380946180709	0.239935390677454	-0.0548840933275078	0.261457297557904	0.0858160665184018	0.222029243407347	0.199101698378232
2	Fr	-0.0782651570596272	0.316075586908015	-0.0449707647438869	-0.321985240813351	0.126065083564113	0.298730245548959	-0.151796584249179	0.220278231966971	-0.216017394559904	0.109367906839144	-0.237568636936247	-0.0184021897911925	-0.195314646451603	-0.143101534651506	-0.130533147317956	-0.248117821675519	0.0764023556701085	-0.284888943679842	0.165864608885001	-0.183911369667972	0.232688398752571	-0.0479409227808578	0.249198943556504	0.0961487645481375	0.204246940890106	0.207747287249015
3	Fr	-0.0850167991400258	0.297562033191768	-0.0567809308766292	-0.309980854098362	0.140201606859521	0.318078229352946	-0.167134339470544	0.208088944303614	-0.212418232305644	0.0993101823480021	-0.227891905226347	-0.0223277106776455	-0.19532184708057	-0.138668119856039	-0.136784046906651	-0.235346360394617	0.0724588111408527	-0.289700874552159	0.165712929024573	-0.18696291579313	0.245765473972734	-0.0525618245711037	0.255674925716099	0.0964546829080085	0.201534354292632	0.216054587838719
4	Fr	-0.0773928161160297	0.313264453656128	-0.0459492368296721	-0.321746279645799	0.121796844671359	0.309323687696968	-0.161014891190679	0.225775862973978	-0.218607912086778	0.119020643233109	-0.224301720372045	-0.0117937589620919	-0.189370694621714	-0.142005379892171	-0.12857913240211	-0.247218142749362	0.0772388863017771	-0.286194887278525	0.17116781438897	-0.18698148490067	0.24673154102297	-0.0614649407999047	0.242041884819923	0.0844441810001555	0.186239432414029	0.205576045668184
5	Fr	-0.0720011702424419	0.307273743667279	-0.0527816437512782	-0.32791348130199	0.137427388074027	0.320370975284473	-0.146519152854958	0.206526695539057	-0.212528357709219	0.103094956517901	-0.224743218921799	-0.0224889032601364	-0.193112281621838	-0.146186080786772	-0.125972736884168	-0.245775980856358	0.0631211102184634	-0.296465666725726	0.15016082929156	-0.187751155847402	0.227212801577946	-0.0451676110358819	0.245819526224089	0.108044840804721	0.203916906599618	0.226437668000835
6	Fr	-0.0886269317778052	0.303069350598404	-0.0544162116533152	-0.311138333407591	0.139789055627241	0.310202768241161	-0.167914906784467	0.212319503403096	-0.212058262901313	0.09957909959769	-0.231376912143882	-0.0238738617643064	-0.198168621209808	-0.141350132901306	-0.134873485651376	-0.237018872963837	0.0722851910640895	-0.283573121393232	0.165905490604127	-0.182343586242367	0.244404728197886	-0.0503654237561292	0.258261893561724	0.0940898329017292	0.206788973066898	0.210402777686688
8	Fr	-0.107260321330429	0.286319540887861	-0.0602961228532216	-0.295026485755316	0.152360985671196	0.29344600465945	-0.186713042271756	0.196851221997725	-0.233656670999003	0.0941318127436263	-0.241881464953762	-0.020478016835508	-0.202555089589303	-0.131265432841244	-0.142577553853871	-0.225457973608084	0.0765117964069037	-0.265490040747323	0.183091405912753	-0.17595675368041	0.260756593296937	-0.051732453324149	0.269251258555191	0.0896104322279437	0.232968226008364	0.205048144275428
9	Fr	-0.0707901744377358	0.288248978597231	-0.0511029605936156	-0.309054957122318	0.177778805420668	0.296505897282048	-0.174071345640936	0.20410768292672	-0.231869116285037	0.0930003338549337	-0.251244706180853	-0.0322034991066934	-0.210921557345734	-0.151840487471233	-0.143160135978644	-0.248015631028023	0.0730657231539161	-0.262040182400337	0.164276503979253	-0.160825814365699	0.234234506255436	-0.0307980454155658	0.256597839780022	0.10400819677724	0.227206617873261	0.208907527471696
10	Fr	-0.0581938375423001	0.292952957655846	-0.0659220389756434	-0.327345555333497	0.12086147631395	0.301539776899337	-0.144012668354844	0.207258103256735	-0.208276384142093	0.0982702595318825	-0.239225721353834	-0.0252257560624175	-0.204939825240332	-0.145925237278767	-0.140497150088194	-0.246992950476045	0.0619708691227785	-0.284633738039169	0.165546012536358	-0.17407016977672	0.248796219220684	-0.0349839896540477	0.257627274207258	0.114346433922271	0.206265774296212	0.224809865354593
11	Fr	-0.0945768192519294	0.311694797094197	-0.0701043131776482	-0.320200845169138	0.117562835092865	0.305811615232675	-0.148895861860674	0.214140525553821	-0.193800605149293	0.0994533226345959	-0.219587299861233	-0.0264600471312442	-0.194835437100019	-0.14702527972115	-0.140393092871882	-0.244812513153082	0.0605393570716969	-0.284669110524737	0.167551239960752	-0.183314273647861	0.247961721680217	-0.0456087545637076	0.260398062427564	0.10336875722289	0.208180213039584	0.217621806172741
